CUI,STR
C0004352,Autistic disorder of childhood onset
C0004352,Autistic disorder
C0004352,Infantile autism
C0004364,Autoimmune disease
C0004443,Avoidant disorder of childhood OR adolescence
C0004444,Avoidant personality disorder
C0004468,Ayerza's syndrome
C0004509,Azoospermia
C0004509,Azoospermia disorder
C0004576,Babesiosis
C0004606,Nonproliferative retinopathy due to diabetes mellitus
C0004610,Bacteremia
C0004623,Bacterial infectious disease
C0004626,Bacterial pneumonia
C0004659,Bacteriuria
C0004669,Infection due to Bacteroides
C0004681,Bagassosis
C0004690,Balanitis
C0004690,Inflammatory disorder of penis
C0004691,Balanoposthitis
C0004692,Balantidiasis
C0004692,Disease due to Balantidiidae
C0004698,Balkan nephropathy
C0004712,Balo concentric sclerosis
C0004763,Barrett's esophagus
C0004767,Cyst of Bartholin's gland duct
C0004769,Bartholinitis
C0004771,Bartonellosis
C0004775,Bartter syndrome
C0004779,Gorlin syndrome
C0004782,Disorder of basal ganglia
C0004812,Basilar artery syndrome
C0004823,Basophilic hyperplasia
C0004903,Beckwith-Wiedemann syndrome
C0004936,Mental disorder
C0004943,Behcet's syndrome
C0004945,Bejel
C0004991,Benign neoplasm of colon
C0004992,Benign neoplasm of cranial nerve
C0004994,Benign neoplasm of mandible
C0004997,Benign neoplasm of ovary
C0004998,Benign neoplasm of skin
C0005122,Beriberi
C0005129,Bernard Soulier syndrome
C0005129,Giant platelet syndrome
C0005137,Infection by Bertiella
C0005146,Infection by Besnoitia
C0005283,Beta thalassemia
C0005395,Disorder of bile duct
C0005398,Extrahepatic obstructive biliary disease
C0005398,Extrahepatic cholestasis
C0005416,Biliary dyskinesia
C0005424,Disorder of biliary tract
C0005426,Neoplasm of biliary tract
C0005443,Bilirubinuria
C0005461,Binocular vision disorder
C0005586,Bipolar disorder
C0005587,"Bipolar affective disorder, current episode depression"
C0005592,Bird-fanciers' lung
C0005681,Black water fever
C0005683,Urinary bladder stone
C0005684,Malignant tumor of urinary bladder
C0005686,Disorder of bladder
C0005689,Exstrophy of bladder sequence
C0005694,Bladder neck obstruction
C0005694,Bladder outlet obstruction
C0005695,Neoplasm of bladder
C0005697,Neurogenic dysfunction of the urinary bladder
C0005697,Neurogenic bladder
C0005699,Blastic phase chronic myeloid leukemia
C0005699,Blast crisis
C0005716,Blastomycosis
C0005716,Infection by Blastomyces dermatitidis
C0005721,Cutaneous paracoccioidomycosis
C0005723,Oral paracoccidioidomycosis
C0005724,Visceral paracoccidioidomycosis
C0005741,Blepharitis
C0005742,Blepharochalasis
C0005743,Blepharoconjunctivitis
C0005745,Ptosis of eyelid
C0005747,Blepharospasm
C0005750,Blind loop syndrome
C0005750,Bacterial overgrowth syndrome
C0005779,Disorder of hemostatic system
C0005779,Blood coagulation disorder
C0005818,Platelet disorder
C0005859,Bloom syndrome
C0005887,Body dysmorphic disorder
C0005940,Disorder of bone
C0005941,Disorder of bone development
C0005944,Metabolic bone disease
C0005956,Bone marrow disorder
C0005967,Bone tumor
C0005967,Neoplasm of bone
C0006009,Borderline intellectual disability
C0006012,Borderline personality disorder
C0006035,Borreliosis
C0006039,Staphylococcal granuloma
C0006060,Boutonneuse fever
C0006079,Bowen's disease
C0006105,Abscess of brain
C0006109,Chronic brain syndrome
C0006111,Disorder of brain
C0006112,Metabolic encephalopathy
C0006118,Neoplasm of brain
C0006123,Arterial retinal branch occlusion
C0006142,Malignant tumor of breast
C0006145,Disorder of breast
C0006181,Brill-Zinsser disease
C0006234,Bromoderma
C0006261,Disorder of bronchus
C0006264,Neoplasm of bronchus
C0006266,Bronchospasm
C0006267,Bronchiectasis
C0006271,Bronchiolitis
C0006272,Obliterative bronchiolitis
C0006277,Bronchitis
C0006285,Bronchopneumonia
C0006287,Bronchopulmonary dysplasia of newborn
C0006309,Brucellosis
C0006325,Grinding teeth
C0006325,Bruxism (teeth grinding)
C0006384,Bundle branch block
C0006391,Bunyamwera virus disease
C0006396,Disease due to Bunyaviridae
C0006413,Burkitt lymphoma/leukemia
C0006413,Burkitt lymphoma
C0006413,Burkitt's lymphoma (clinical)
C0006429,Gopalan's syndrome
C0006430,Burning mouth syndrome
C0006444,Bursitis
C0006542,Byssinosis
C0006646,Caffeine-induced organic mental disorder
C0006664,Calcinosis cutis
C0006666,Calciphylaxis
C0006705,Disorder of calcium metabolism
C0006818,Campylobacteriosis
C0006826,Malignant neoplastic disease
C0006840,Candidiasis
C0006845,Chronic mucocutaneous candidiasis
C0006846,Candidiasis of skin
C0006848,Mucocutaneous candidiasis
C0006849,Candidiasis of mouth
C0006852,Candidiasis of vagina
C0006866,Cannabinosis
C0006868,Cannabis abuse
C0006870,Cannabis dependence
C0006895,Capgras' syndrome
C0006897,Capillaria infection
C0006899,Capillaria philippinensis infection
C0006902,Capillaritis
C0006905,Fragile capillaries
C0006905,Capillary fragility
C0006915,Rheumatoid pneumoconiosis
C0007078,Carbuncle
C0007093,Carcinoid heart disease
C0007095,Carcinoid tumor - morphology
C0007095,Carcinoid tumor
C0007097,Carcinoma
C0007097,Malignant epithelial neoplasm
C0007099,Carcinoma in situ - category
C0007099,Carcinoma in situ
C0007102,Malignant tumor of colon
C0007107,Malignant tumor of larynx
C0007112,Adenocarcinoma of prostate
C0007114,Malignant neoplasm of skin
C0007115,Malignant tumor of thyroid gland
C0007117,Basal cell carcinoma
C0007118,Basosquamous carcinoma of skin
C0007118,Basosquamous carcinoma
C0007118,Metatypical carcinoma
C0007120,Bronchiolo-alveolar adenocarcinoma
C0007120,Alveolar adenocarcinoma
C0007124,Intraductal carcinoma in situ of breast
C0007124,"Intraductal carcinoma, noninfiltrating"
C0007124,pTis: Ductal carcinoma in situ (breast)
C0007129,Merkel cell carcinoma
C0007129,Apudoma of skin
C0007130,Mucinous adenocarcinoma
C0007131,Non-small cell lung cancer
C0007133,Papillary carcinoma
C0007134,Renal cell carcinoma
C0007135,Scirrhous adenocarcinoma
C0007137,Squamous cell carcinoma
C0007138,Transitional cell carcinoma
C0007140,Carcinosarcoma
C0007177,Cardiac tamponade
C0007192,Dilated cardiomyopathy secondary to alcohol
C0007193,Primary dilated cardiomyopathy
C0007193,Dilated cardiomyopathy
C0007194,Hypertrophic cardiomyopathy
C0007196,Restrictive cardiomyopathy
C0007196,Primary restrictive cardiomyopathy
C0007222,Disorder of cardiovascular system
C0007273,Disorder of carotid artery
C0007274,Carotid artery thrombosis
C0007279,Neoplasm of carotid body
C0007279,Carotid body tumor
C0007282,Carotid artery stenosis
C0007283,Carotene pigmentation of skin
C0007286,Carpal tunnel syndrome
C0007297,Car sickness
C0007302,Cartilage disorder
C0007361,Cat scratch disease
C0007384,Cataplexy
C0007398,Catatonia
C0007459,Cauda equina syndrome with neurogenic bladder
C0007462,"Complex regional pain syndrome, type II"
C0007527,Disorder of cecum
C0007528,Neoplasm of cecum
C0007570,Celiac disease
C0007646,Cellulitis of hand
C0007657,Cementitis
C0007659,Cementoma
C0007659,"Cementoblastoma, benign"
C0007682,Disorder of the central nervous system
C0007684,Infectious disease of central nervous system
C0007688,Central retinal artery occlusion
C0007722,Cephalhematoma due to birth trauma
C0007722,Fetal cephalhematoma
C0007758,Cerebellar ataxia
C0007760,Cerebellar deficiency syndrome
C0007760,Cerebellar disorder
C0007761,Early onset cerebellar ataxia with myoclonus
C0007761,Dyssynergia cerebellaris myoclonica
C0007761,Progressive cerebellar tremor
C0007762,Neoplasm of cerebellum
C0007766,Intracranial aneurysm
C0007773,Cerebral arteritis
C0007775,Cerebral atherosclerosis
C0007780,Cerebral embolism
C0007785,Cerebral infarction
C0007786,Ischemic encephalopathy
C0007787,Transient cerebral ischemia
C0007788,Cerebral lipidosis
C0007789,Cerebral palsy
C0007795,Schilder's disease
C0007798,Neoplasm of cerebral ventricle
C0007814,Cerebrospinal fluid otorrhea
C0007815,Cerebrospinal fluid rhinorrhea
C0007820,Cerebrovascular disease
C0007847,Malignant tumor of cervix
C0007855,Polyp of cervix
C0007856,Arterial thoracic outlet syndrome due to cervical rib
C0007860,Inflammation of cervix
C0007861,Cervicitis and endocervicitis
C0007862,Cervicobrachial neuralgia
C0007863,Cervico-occipital neuralgia
C0007867,Disorder of uterine cervix
C0007868,Dysplasia of cervix
C0007869,Erosion of cervix
C0007870,Hypertrophied cervix
C0007873,Neoplasm of uterine cervix
C0007894,Cestode infection
C0007930,Chagas' disease with heart involvement
C0007933,Chalazion
C0007944,Chancriform pyoderma
C0007947,Chancroid
C0007965,Chédiak-Higashi syndrome
C0007969,Cheese-washers' lung
C0007971,Cheilitis
C0008029,Fibrous dysplasia of jaw
C0008043,Postpartum amenorrhea-galactorrhea syndrome
C0008049,Varicella
C0008055,Chikungunya fever
C0008058,Chilblains
C0008060,Child abuse
C0008073,Developmental disorder
C0008127,Chinese restaurant syndrome
C0008149,Chlamydial infection
C0008298,Polyp in nasopharynx
C0008298,Choanal polyp
C0008308,Cholangiolitis
C0008309,Bile duct adenoma
C0008309,Cholangioadenoma
C0008311,Cholangitis
C0008312,Primary biliary cholangitis
C0008313,Sclerosing cholangitis
C0008325,Cholecystitis
C0008350,Biliary calculus
C0008354,Cholera
C0008370,Cholestasis
C0008370,Obstruction of bile duct
C0008370,Occlusion of bile duct
C0008372,Intrahepatic cholestasis
C0008373,Cholesteatoma
C0008374,Cholesteatoma of middle ear and mastoid
C0008384,Cholesterol ester storage disease
C0008412,Choline deficiency
C0008441,Chondroblastoma
C0008449,Congenital anomaly of cartilage
C0008475,Chondromalacia of patella
C0008476,Primary synovial chondromatosis
C0008476,Synovial chondromatosis
C0008479,Chondrosarcoma
C0008479,"Chondrosarcoma, no ICD-O subtype"
C0008487,Chordoma
C0008489,Chorea
C0008493,Invasive hydatidiform mole
C0008495,Chorioamnionitis
C0008497,Choriocarcinoma
C0008513,Chorioretinitis
C0008523,Neoplasm of choroid
C0008525,Choroideremia
C0008526,Choroiditis
C0008533,Hereditary factor IX deficiency disease
C0008533,Factor IX deficiency
C0008677,Chronic bronchitis
C0008679,Chronic disease
C0008680,Cryptogenic pulmonary eosinophilia
C0008681,Chronic ethmoidal sinusitis
C0008683,Chronic frontal sinusitis
C0008684,Chronic gingivitis
C0008690,Chronic anterior uveitis
C0008698,Chronic maxillary sinusitis
C0008707,Chronic osteomyelitis
C0008711,Chronic rhinitis
C0008712,Chronic sphenoidal sinusitis
C0008728,Eosinophilic granulomatosis with polyangiitis
C0008732,Chylous ascites
C0008733,Chylothorax
C0008780,Immotile cilia syndrome
C0008909,Claustrophobia
C0008909,Fear of enclosed spaces
C0008928,Cleidocranial dysostosis
C0009021,Clonorchiasis
C0009062,Clostridial infection
C0009084,Cluster A personality disorder
C0009086,Cluster B personality disorder
C0009087,Cluster C personality disorder
C0009088,Cluster headache
C0009088,Chronic cluster headache
C0009088,Ciliary neuralgia
C0009171,Cocaine abuse
C0009176,Cocaine intoxication
C0009178,Cocaine withdrawal
C0009186,Coccidioidomycosis
C0009186,Infection by Coccidioides immitis
C0009187,Coccidiosis
C0009207,Cockayne syndrome
C0009215,Allergy to codeine
C0009225,Coenurosis
C0009241,Cognitive disorder
C0009250,Coin lesion of lung
C0009270,Cold panniculitis
C0009319,Colitis
C0009324,Ulcerative colitis
C0009326,Collagen disease
C0009373,Disorder of colon
C0009375,Neoplasm of colon
C0009377,Primary chronic pseudo-obstruction of colon
C0009377,Pseudo-obstruction of colon
C0009398,Color vision deficiency
C0009400,Colorado tick fever
C0009404,Neoplasm of large intestine
C0009421,Coma
C0009442,Neoplasm of common bile duct
C0009443,Common cold
C0009447,Common variable agammaglobulinemia
C0009450,Disorder due to infection
C0009450,Communicable disease
C0009450,Contagious disease
C0009451,Communicating hydrocephalus
C0009460,Communication disorder
C0009492,Compartment syndrome
C0009592,Compression of brain
C0009595,Obsessive compulsive personality disorder
C0009595,Obsessive-compulsive personality trait
C0009655,"Conduct disorder, group type"
C0009656,"Conduct disorder, solitary aggressive type"
C0009657,"Conduct disorder, undifferentiated type"
C0009663,Condyloma acuminatum of the anogenital region
C0009663,Genital warts
C0009676,Confusional state
C0009693,Congenital coronary artery sclerosis
C0009714,Congenital hepatic fibrosis
C0009759,Disorder of conjunctiva
C0009761,Neoplasm of conjunctiva
C0009763,Conjunctivitis
C0009765,Acute hemorrhagic conjunctivitis
C0009766,Allergic conjunctivitis
C0009766,Atopic conjunctivitis
C0009768,Bacterial conjunctivitis
C0009768,Mucopurulent conjunctivitis
C0009768,Purulent conjunctivitis
C0009769,Giant papillary conjunctivitis
C0009770,Chlamydial conjunctivitis
C0009773,Vernal conjunctivitis
C0009774,Viral conjunctivitis
C0009777,Aldosterone-producing adenoma
C0009782,Disorder of connective tissue
C0009946,Psychologic conversion disorder
C0009952,Febrile convulsion
C0009983,Eating feces
C0010034,Disorder of cornea
C0010035,Hereditary corneal dystrophy
C0010036,Corneal dystrophy
C0010043,Corneal ulcer
C0010051,Aneurysm of coronary vessels
C0010054,Coronary arteriosclerosis
C0010054,Coronary atherosclerosis
C0010072,Coronary artery thrombosis
C0010073,Coronary artery spasm
C0010078,Disease due to Coronaviridae
C0010093,Corpus luteum cyst
C0010105,Infection by Theileria lawrenci
C0010153,Infection due to Corynebacterium
C0010232,Cowpox
C0010246,Coxsackie virus disease
C0010264,Bathing cramp
C0010266,Cranial nerve disorder
C0010267,Neoplasm of cranial nerve
C0010269,Cranial neuralgia
C0010273,Crouzon syndrome
C0010276,Craniopharyngioma
C0010278,Craniosynostosis syndrome
C0010308,Congenital hypothyroidism
C0010314,5p partial monosomy syndrome
C0010324,Crigler-Najjar syndrome
C0010324,"Crigler-Najjar syndrome, type I"
C0010346,Crohn's disease
C0010356,Healthcare associated infectious disease
C0010356,Cross infection
C0010380,Croup
C0010398,Cruveilhier-Baumgarten syndrome
C0010403,Cryoglobulinemia
C0010414,Cryptococcosis
C0010418,Cryptosporidiosis
C0010418,Infection by Cryptosporidium
C0010474,Curling's ulcers
C0010488,Cutaneous endometriosis
C0010495,Cutis laxa
C0010543,Cyclitis
C0010598,Cyclothymia
C0010598,Affective personality trait
C0010606,Cylindroma
C0010606,Adenoid cystic carcinoma
C0010631,Cystadenocarcinoma
C0010633,Cystadenoma
C0010635,Mucinous adenoma
C0010635,Mucinous cystadenoma
C0010636,Papillary cystadenoma
C0010666,Cystic acne
C0010673,Endometrial cystic hyperplasia
C0010674,Cystic fibrosis
C0010678,Cysticercosis
C0010678,Infection by tapeworm larvae
C0010691,Cystinuria
C0010692,Cystitis
C0010823,Cytomegalovirus infection
C0010930,Dacryocystitis
C0010964,Dandy-Walker syndrome
C0011119,Bends
C0011127,Pressure ulcer
C0011166,Senile dermatosis
C0011168,Dysphagia
C0011168,Difficulty swallowing
C0011175,Dehydration
C0011195,Déjérine-Sottas disease
C0011206,Delirium
C0011206,Delirious
C0011226,Viral hepatitis D
C0011251,Delusional disorder
C0011253,Delusions
C0011263,Multi-infarct dementia
C0011265,Presenile dementia
C0011268,Senile dementia
C0011269,Vascular dementia
C0011302,Demyelinating disease of central nervous system
C0011311,Dengue
C0011334,Dental caries
C0011346,Accretion on teeth
C0011351,Enamel hypoplasia
C0011389,Dental plaque
C0011405,Disorder of pulp of tooth
C0011406,Exposure of tooth pulp
C0011407,Necrosis of the pulp
C0011428,Dentigerous cyst
C0011430,Dentin dysplasia
C0011432,Sensitive dentin
C0011434,Secondary dentin
C0011548,Dependent personality disorder
C0011551,Depersonalization
C0011573,Endogenous depression
C0011574,Involutional depression
C0011579,Reactive depression (situational)
C0011580,Reactive depressive psychosis
C0011581,Depressive disorder
C0011606,Erythroderma
C0011606,Erythrodermic eczema
C0011606,Pityriasis rubra (Hebra)
C0011608,Dermatitis herpetiformis
C0011609,Drug-induced dermatosis
C0011609,Eruption due to drug
C0011615,Atopic dermatitis
C0011615,Atopic neurodermatitis
C0011616,Contact dermatitis
C0011620,Stasis dermatitis
C0011620,Varicose eczema
C0011620,Varicose veins of the leg with eczema
C0011630,Dermal mycosis
C0011633,Dermatomyositis
C0011636,Dermatophytosis
C0011645,Dermatosis papulosa nigra
C0011649,Dermoid tumor
C0011649,Dermoid cyst
C0011757,Developmental coordination disorder
C0011768,Developmental receptive language disorder
C0011768,Receptive language disorder
C0011848,Diabetes insipidus
C0011849,Diabetes mellitus
C0011854,Type 1 diabetes mellitus
C0011859,Lipoatrophic diabetes
C0011860,Type 2 diabetes mellitus
C0011871,Peripheral angiopathy due to diabetes mellitus
C0011876,Cataract due to diabetes mellitus
C0011877,Ketoacidotic coma due to diabetes mellitus
C0011880,Diabetic ketoacidosis
C0011881,Disorder of kidney due to diabetes mellitus
C0011882,Neuropathy due to diabetes mellitus
C0011884,Retinopathy due to diabetes mellitus
C0011974,Diaper rash
C0011985,Diaphragmitis
C0011989,Diaphyseal dysplasia
C0011989,Progressive diaphyseal dysplasia
C0011993,Vipoma
C0011993,Vasoactive intestinal peptide-secreting tumor
C0012102,Dicrocoeliasis
C0012236,22q11.2 deletion syndrome
C0012242,Disorder of digestive system
C0012243,Neoplasm of digestive tract
C0012243,Neoplasm of digestive system
C0012482,Dioctophyme renale infection
C0012517,Infection by Dipetalonema
C0012546,Infection due to Corynebacterium diphtheriae
C0012553,Anterior nasal diphtheria
C0012554,Conjunctival diphtheria
C0012555,Cutaneous diphtheria
C0012556,Faucial diphtheria
C0012557,Laryngeal diphtheria
C0012558,Nasopharyngeal diphtheria
C0012561,Diphyllobothriasis
C0012561,Intestinal diphyllobothriasis
C0012602,Infection by Dirofilaria
C0012624,Discitis
C0012634,Disease
C0012711,Disorders of bilirubin excretion
C0012714,Disorder of copper metabolism
C0012715,Disorder of iron metabolism
C0012716,Disorder of magnesium metabolism
C0012734,Disruptive behavior disorder
C0012738,Disseminated infantile listeriosis
C0012739,Disseminated intravascular coagulation
C0012746,Dissociative disorder
C0012767,Tooth eruption disorder
C0012813,Diverticulitis
C0012814,Diverticulitis of colon
C0012818,Diverticulosis of sigmoid colon
C0012819,Diverticular disease of colon
C0012819,Diverticulosis of colon
C0013076,Infection by Trypanosoma equiperdum
C0013080,Trisomy 21
C0013080,Complete trisomy 21 syndrome
C0013100,Infection by Dracunculus medinensis
C0013146,Drug abuse
C0013170,Drug habituation
C0013240,Alveolar periostitis
C0013240,Alveolitis of jaw
C0013261,Duane's syndrome
C0013264,Duchenne muscular dystrophy
C0013289,Disorder of duodenum
C0013291,Neoplasm of duodenum
C0013292,Obstruction of duodenum
C0013295,Ulcer of duodenum
C0013298,Duodenitis
C0013299,Duodenogastric reflux
C0013312,Contracture of palmar fascia
C0013312,Dupuytren's contracture
C0013312,Dupuytren's disease of palm
C0013312,"Dupuytren's disease of palm, with contracture"
C0013338,Pituitary dwarfism
C0013362,Dysarthria
C0013364,Familial dysautonomia
C0013369,Infectious diarrheal disease
C0013370,Amebic colitis
C0013370,Amebic dysentery
C0013371,Shigellosis
C0013371,Infection by Shigella
